media_id,file_name,relative_path,captured_date,captured_time,media_type,component_group,specific_component,stage,observed_state,confidence,tags,notes
20260320_192151_gp_1q5neNiA,20260320_192151_gp_1q5neNiA.jpg,photos/20260320_192151_gp_1q5neNiA.jpg,2026-03-20,19:21:51,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260320_192153,20260320_192153.jpg,photos/20260320_192153.jpg,2026-03-20,19:21:53,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260320_192155_gp_3LEXqF6g,20260320_192155_gp_3LEXqF6g.jpg,photos/20260320_192155_gp_3LEXqF6g.jpg,2026-03-20,19:21:55,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260321_235436,20260321_235436.jpg,photos/20260321_235436.jpg,2026-03-21,23:54:36,photo,interior_cabin,floor_pan_and_firewall,stripdown_cataloguing,trim_removed,high,floor_pan|stripdown|firewall,
20260321_235439_gp_K6PYqo5A,20260321_235439_gp_K6PYqo5A.jpg,photos/20260321_235439_gp_K6PYqo5A.jpg,2026-03-21,23:54:39,photo,interior_cabin,floor_pan_and_firewall,stripdown_cataloguing,trim_removed,high,floor_pan|stripdown|firewall,
20260321_235441,20260321_235441.jpg,photos/20260321_235441.jpg,2026-03-21,23:54:41,photo,interior_cabin,floor_pan_and_firewall,stripdown_cataloguing,trim_removed,high,floor_pan|stripdown|firewall,
20260321_235441_exported_1774186863455,20260321_235441_exported_1774186863455.jpg,photos/20260321_235441_exported_1774186863455.jpg,2026-03-21,23:54:41,photo,interior_cabin,floor_pan_and_firewall,stripdown_cataloguing,trim_removed,high,floor_pan|stripdown|firewall,
20260321_235444_gp_wQoX9Mug,20260321_235444_gp_wQoX9Mug.jpg,photos/20260321_235444_gp_wQoX9Mug.jpg,2026-03-21,23:54:44,photo,interior_cabin,floor_pan_and_firewall,stripdown_cataloguing,trim_removed,high,floor_pan|stripdown|firewall,
20260321_235444_gp_zOybRRYA,20260321_235444_gp_zOybRRYA.jpg,photos/20260321_235444_gp_zOybRRYA.jpg,2026-03-21,23:54:44,photo,interior_cabin,floor_pan_and_firewall,stripdown_cataloguing,trim_removed,high,floor_pan|stripdown|firewall,
20260321_235501,20260321_235501.jpg,photos/20260321_235501.jpg,2026-03-21,23:55:01,photo,engine_bay,engine_bay_overview,stripdown_cataloguing,partially_disassembled,high,engine|bay,
20260321_235600,20260321_235600.jpg,photos/20260321_235600.jpg,2026-03-21,23:56:00,photo,interior_cabin,driver_footwell_firewall_and_wiring,stripdown_cataloguing,trim_removed,high,footwell|firewall|wiring,
20260321_235605,20260321_235605.jpg,photos/20260321_235605.jpg,2026-03-21,23:56:05,photo,interior_cabin,floor_pan_and_firewall,stripdown_cataloguing,trim_removed,high,floor_pan|firewall|stripdown,
20260323_180218,20260323_180218.jpg,photos/20260323_180218.jpg,2026-03-23,18:02:18,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_180220_gp_R3uBBhUw,20260323_180220_gp_R3uBBhUw.jpg,photos/20260323_180220_gp_R3uBBhUw.jpg,2026-03-23,18:02:20,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_180314,20260323_180314.jpg,photos/20260323_180314.jpg,2026-03-23,18:03:14,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_180316_gp_65cSGRyQ,20260323_180316_gp_65cSGRyQ.jpg,photos/20260323_180316_gp_65cSGRyQ.jpg,2026-03-23,18:03:16,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_185920,20260323_185920.jpg,photos/20260323_185920.jpg,2026-03-23,18:59:20,photo,engine_bay,engine_bay_overview,stripdown_cataloguing,partially_disassembled,high,engine|bay,
20260323_185922_gp_XWQyq7dw,20260323_185922_gp_XWQyq7dw.jpg,photos/20260323_185922_gp_XWQyq7dw.jpg,2026-03-23,18:59:22,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_185947,20260323_185947.jpg,photos/20260323_185947.jpg,2026-03-23,18:59:47,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_185949_gp_bRW3C2Ng,20260323_185949_gp_bRW3C2Ng.jpg,photos/20260323_185949_gp_bRW3C2Ng.jpg,2026-03-23,18:59:49,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_190005,20260323_190005.jpg,photos/20260323_190005.jpg,2026-03-23,19:00:05,photo,interior_cabin,dashboard_lower_structure,stripdown_cataloguing,trim_removed,high,dashboard|stripdown,
20260323_190006_gp_xzDpzXmg,20260323_190006_gp_xzDpzXmg.jpg,photos/20260323_190006_gp_xzDpzXmg.jpg,2026-03-23,19:00:06,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_190037,20260323_190037.jpg,photos/20260323_190037.jpg,2026-03-23,19:00:37,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_190038_gp_i9KuGptA,20260323_190038_gp_i9KuGptA.jpg,photos/20260323_190038_gp_i9KuGptA.jpg,2026-03-23,19:00:38,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_190047,20260323_190047.jpg,photos/20260323_190047.jpg,2026-03-23,19:00:47,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_190048_gp_MSH3WpmQ,20260323_190048_gp_MSH3WpmQ.jpg,photos/20260323_190048_gp_MSH3WpmQ.jpg,2026-03-23,19:00:48,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_201950,20260323_201950.jpg,photos/20260323_201950.jpg,2026-03-23,20:19:50,photo,body_exterior,body_shell_with_doors_removed,removed_parts_cataloguing,doors_removed,high,body_shell|doors_removed,
20260323_201952_gp_Jms9V7Ew,20260323_201952_gp_Jms9V7Ew.jpg,photos/20260323_201952_gp_Jms9V7Ew.jpg,2026-03-23,20:19:52,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_201957,20260323_201957.jpg,photos/20260323_201957.jpg,2026-03-23,20:19:57,photo,body_exterior,rear_side_opening,removed_parts_cataloguing,doors_removed,high,body_shell|rear_opening,
20260323_202000_gp_HvImDixA,20260323_202000_gp_HvImDixA.jpg,photos/20260323_202000_gp_HvImDixA.jpg,2026-03-23,20:20:00,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_202016,20260323_202016.jpg,photos/20260323_202016.jpg,2026-03-23,20:20:16,photo,body_floor,rear_cargo_floor,stripdown_cataloguing,trim_removed,high,cargo_floor|interior,
20260323_202020_gp_2a0rVClA,20260323_202020_gp_2a0rVClA.jpg,photos/20260323_202020_gp_2a0rVClA.jpg,2026-03-23,20:20:20,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_210944,20260323_210944.jpg,photos/20260323_210944.jpg,2026-03-23,21:09:44,photo,roof_and_gutters,roof_gutter_and_window_channel,rust_assessment,corrosion_visible,high,roof|gutter|rust,
20260323_210946_gp_0UMDdELw,20260323_210946_gp_0UMDdELw.jpg,photos/20260323_210946_gp_0UMDdELw.jpg,2026-03-23,21:09:46,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_210954,20260323_210954.jpg,photos/20260323_210954.jpg,2026-03-23,21:09:54,photo,roof_and_gutters,roof_gutter_and_window_channel,rust_assessment,corrosion_visible,high,roof|gutter|rust,
20260323_210956_gp_xTOMHTiA,20260323_210956_gp_xTOMHTiA.jpg,photos/20260323_210956_gp_xTOMHTiA.jpg,2026-03-23,21:09:56,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_211003,20260323_211003.jpg,photos/20260323_211003.jpg,2026-03-23,21:10:03,photo,roof_and_gutters,roof_gutter_and_window_channel,rust_assessment,corrosion_visible,high,roof|gutter|rust,
20260323_211006_gp_lhopOh5A,20260323_211006_gp_lhopOh5A.jpg,photos/20260323_211006_gp_lhopOh5A.jpg,2026-03-23,21:10:06,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260323_211027,20260323_211027.jpg,photos/20260323_211027.jpg,2026-03-23,21:10:27,photo,roof_and_gutters,roof_gutter_and_window_channel,rust_assessment,corrosion_visible,high,roof|gutter|rust,
20260323_211028_gp_7IYxU7Wg,20260323_211028_gp_7IYxU7Wg.jpg,photos/20260323_211028_gp_7IYxU7Wg.jpg,2026-03-23,21:10:28,photo,interior_cabin,dashboard_and_cabin_stripdown,stripdown_cataloguing,trim_removed,high,dashboard|stripdown|interior,
20260324_004812,20260324_004812.jpg,photos/20260324_004812.jpg,2026-03-24,00:48:12,photo,electrical_system,driver_footwell_firewall_pass_through,stripdown_cataloguing,trim_removed,high,firewall|wiring|front_cabin,
20260324_004815_gp_Q9G5DYGw,20260324_004815_gp_Q9G5DYGw.jpg,photos/20260324_004815_gp_Q9G5DYGw.jpg,2026-03-24,00:48:15,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004830,20260324_004830.jpg,photos/20260324_004830.jpg,2026-03-24,00:48:30,photo,wheels_and_tires,wheel_and_tire_detail,underside_inspection,inspection_in_progress,high,wheel|tire,
20260324_004832_gp_5elxVhZw,20260324_004832_gp_5elxVhZw.jpg,photos/20260324_004832_gp_5elxVhZw.jpg,2026-03-24,00:48:32,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004852,20260324_004852.jpg,photos/20260324_004852.jpg,2026-03-24,00:48:52,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004855_gp_LX6anGdw,20260324_004855_gp_LX6anGdw.jpg,photos/20260324_004855_gp_LX6anGdw.jpg,2026-03-24,00:48:55,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004901,20260324_004901.jpg,photos/20260324_004901.jpg,2026-03-24,00:49:01,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004904_gp_idPFK8Og,20260324_004904_gp_idPFK8Og.jpg,photos/20260324_004904_gp_idPFK8Og.jpg,2026-03-24,00:49:04,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004906,20260324_004906.jpg,photos/20260324_004906.jpg,2026-03-24,00:49:06,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004909_gp_IC7fzX9A,20260324_004909_gp_IC7fzX9A.jpg,photos/20260324_004909_gp_IC7fzX9A.jpg,2026-03-24,00:49:09,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004918,20260324_004918.jpg,photos/20260324_004918.jpg,2026-03-24,00:49:18,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260324_004921_gp_bHLJcrEw,20260324_004921_gp_bHLJcrEw.jpg,photos/20260324_004921_gp_bHLJcrEw.jpg,2026-03-24,00:49:21,photo,chassis_underside,rear_axle_and_leaf_springs,underside_inspection,inspection_in_progress,high,axle|suspension|underside,
20260328_053638_gp_t6Q3oCTA,20260328_053638_gp_t6Q3oCTA.jpg,photos/20260328_053638_gp_t6Q3oCTA.jpg,2026-03-28,05:36:38,photo,electrical_system,pedal_box_wiring,electrical_rework,under_rework,high,pedal_box|wiring|firewall,
20260328_053645_gp_6idpzPCg,20260328_053645_gp_6idpzPCg.jpg,photos/20260328_053645_gp_6idpzPCg.jpg,2026-03-28,05:36:45,photo,electrical_system,pedal_box_wiring,electrical_rework,under_rework,high,pedal_box|wiring|firewall,
20260328_174655_gp_uKQXWNAg,20260328_174655_gp_uKQXWNAg.jpeg,photos/20260328_174655_gp_uKQXWNAg.jpeg,2026-03-28,17:46:55,photo,electrical_system,pedal_box_wiring,electrical_rework,under_rework,high,pedal_box|wiring|firewall,
20260328_232207,20260328_232207.jpg,photos/20260328_232207.jpg,2026-03-28,23:22:07,photo,electrical_system,pedal_box_wiring,electrical_rework,under_rework,high,pedal_box|wiring|firewall,
