file_name,relative_path,component_group,stage,confidence,decision,reason,target_relative_path
20260323_190005.jpg,photos/20260323_190005.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_190006_gp_xzDpzXmg.jpg,photos/20260323_190006_gp_xzDpzXmg.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_190037.jpg,photos/20260323_190037.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_190038_gp_i9KuGptA.jpg,photos/20260323_190038_gp_i9KuGptA.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_190047.jpg,photos/20260323_190047.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_190048_gp_MSH3WpmQ.jpg,photos/20260323_190048_gp_MSH3WpmQ.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_201950.jpg,photos/20260323_201950.jpg,body_exterior,removed_parts_cataloguing,high,keep,keyword_car_match,
20260323_201952_gp_Jms9V7Ew.jpg,photos/20260323_201952_gp_Jms9V7Ew.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_201957.jpg,photos/20260323_201957.jpg,body_exterior,removed_parts_cataloguing,high,keep,keyword_car_match,
20260323_202000_gp_HvImDixA.jpg,photos/20260323_202000_gp_HvImDixA.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_202016.jpg,photos/20260323_202016.jpg,body_floor,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_202020_gp_2a0rVClA.jpg,photos/20260323_202020_gp_2a0rVClA.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_210944.jpg,photos/20260323_210944.jpg,roof_and_gutters,rust_assessment,high,keep,keyword_car_match,
20260323_210946_gp_0UMDdELw.jpg,photos/20260323_210946_gp_0UMDdELw.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_210954.jpg,photos/20260323_210954.jpg,roof_and_gutters,rust_assessment,high,keep,keyword_car_match,
20260323_210956_gp_xTOMHTiA.jpg,photos/20260323_210956_gp_xTOMHTiA.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_211003.jpg,photos/20260323_211003.jpg,roof_and_gutters,rust_assessment,high,keep,keyword_car_match,
20260323_211006_gp_lhopOh5A.jpg,photos/20260323_211006_gp_lhopOh5A.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_211027.jpg,photos/20260323_211027.jpg,roof_and_gutters,rust_assessment,high,keep,keyword_car_match,
20260323_211028_gp_7IYxU7Wg.jpg,photos/20260323_211028_gp_7IYxU7Wg.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260324_004812.jpg,photos/20260324_004812.jpg,electrical_system,stripdown_cataloguing,high,keep,keyword_car_match,
20260324_004815_gp_Q9G5DYGw.jpg,photos/20260324_004815_gp_Q9G5DYGw.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260324_004830.jpg,photos/20260324_004830.jpg,wheels_and_tires,underside_inspection,high,keep,component_group_not_reference,
20260324_004832_gp_5elxVhZw.jpg,photos/20260324_004832_gp_5elxVhZw.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260324_004852.jpg,photos/20260324_004852.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
